unique_key,created_date,closed_date,resolution_action_updated_date,status,status_notes,agency_name,category,complaint_type,descriptor,incident_address,supervisor_district,neighborhood,location,source,media_url,latitude,longitude,police_district
9058601,2018-05-28 08:07:00 UTC,2018-07-11 10:02:00 UTC,2018-07-11 10:02:00 UTC,Closed,"Not a tip over, return to Zone E for LP",DPW Ops Queue,Litter Receptacles,Tipped_over,N/A,"933 20TH ST, SAN FRANCISCO, CA, 94107",10,Dogpatch,POINT (-122.39067566 37.76046896),Mobile/Open311,http://mobile311.sfgov.org/reports/9058601/photos,37.760468962993,-122.390675655688,BAYVIEW
9503493,2018-09-06 10:49:00 UTC,2018-09-13 18:23:00 UTC,2018-09-13 18:23:00 UTC,Closed,A frames belong to esquvel  grading and pavin v.m was left,311 Supervisor Queue,Illegal Postings,Illegal Postings - Multiple_Postings,Multiple Postings,"400 ELLINGTON AVE, SAN FRANCISCO, CA, 94112",11,Outer Mission,POINT (-122.446986 37.712044),Mobile/Open311,http://mobile311.sfgov.org/reports/9503493/photos,37.712044,-122.446986,INGLESIDE
10330577,2019-01-08 11:40:00 UTC,2019-01-25 15:52:12 UTC,2019-01-25 15:52:12 UTC,Closed,Maximo Work Order 5620887 has been completed. . s       Add'l Notes:s      house side shield installed,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_Light_Shield,Other_Request_Light_Shield on Metal Pole,"970 CORBETT AVE, SAN FRANCISCO, CA, 94131",8,Upper Market,POINT (-122.4439621 37.75123978),Phone,,37.751239776611,-122.443962097168,PARK
9985331,2018-12-28 10:58:00 UTC,2019-01-02 16:37:30 UTC,2019-01-02 16:37:30 UTC,Closed,Inquiring about construction permits legitimacy. I will send to BSM to research.,DPW BSM Queue,Illegal Postings,Illegal Postings - Multiple_Postings,Multiple Postings,"80 WALLER ST, SAN FRANCISCO, CA, 94102",5,Mint Hill,POINT (-122.424992 37.772079),Web,http://mobile311.sfgov.org/reports/9985331/photos,37.772079,-122.424992,PARK
9793522,2018-11-11 00:09:00 UTC,2018-11-12 06:00:45 UTC,2018-11-12 06:00:45 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1126 FELL ST, SAN FRANCISCO, CA, 94117",5,Alamo Square,POINT (-122.43650758 37.77436301),Mobile/Open311,,37.77436301209,-122.436507583509,NORTHERN
9966377,2018-12-22 11:02:00 UTC,2018-12-28 05:39:00 UTC,2018-12-28 05:39:00 UTC,Closed,12/27/2018 VEH GOA @1051 HOURS #85,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - DeliveryTruck,Black - Toyota - Sienna - ZBIBFR,"55 22ND AVE, SAN FRANCISCO, CA, 94121",2,Lake Street,POINT (-122.48212433 37.78664017),Phone,,37.786640167236,-122.482124328613,RICHMOND
9880723,2018-12-02 16:54:57 UTC,2018-12-03 06:00:37 UTC,2018-12-03 06:00:37 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2949 DIVISADERO ST, SAN FRANCISCO, CA, 94123",2,Cow Hollow,POINT (-122.44238281 37.79688644),Web,,37.796886444092,-122.4423828125,NORTHERN
10336678,2019-01-09 15:01:00 UTC,2019-01-11 08:32:44 UTC,2019-01-11 08:32:44 UTC,Closed,Pickup completed                                  11 PEACE PLZ IS AN INVALID LOCATION,Recology_Litter,Litter Receptacles,Other_including_abandoned_toter,N/A,"11 PEACE PLZ, SAN FRANCISCO, CA, 94115",5,Japantown,POINT (-122.43106992 37.78492413),Mobile/Open311,http://mobile311.sfgov.org/reports/10336678/photos,37.784924126261,-122.431069920682,NORTHERN
9922604,2018-12-11 19:21:00 UTC,2018-12-14 08:02:00 UTC,2018-12-14 08:02:00 UTC,Closed,,DPW IDC Queue,Street Defects,Utility_Excavation,Utility_Excavation,Intersection of EVANS AVE and MENDELL ST,10,India Basin,POINT (-122.38470459 37.74089813),Phone,,37.740898132324,-122.384704589844,BAYVIEW
9965936,2018-12-22 08:50:54 UTC,2018-12-22 10:20:00 UTC,2018-12-22 10:20:00 UTC,Closed,Please Provide further information,311 Supervisor Queue,Graffiti,Graffiti on ATT_Property,ATT_Property - Offensive,"3516 GEARY BLVD, SAN FRANCISCO, CA, 94118",2,Laurel Heights / Jordan Park,POINT (-122.45716588 37.78167773),Web,,37.781677729832,-122.457165875671,RICHMOND
9801057,2018-11-13 08:43:00 UTC,2018-11-14 13:43:00 UTC,2018-11-14 13:43:00 UTC,Closed,"201805391  To view the status, seeshttp://dbiweb.sfgov.org/dbipts/default.aspx?page=AddressComplaint&ComplaintNo=  201805391",DBI Housing Inspection Queue,Residential Building Request,Building - Paint_Lead_Violating_Safe_Practices,Paint_Lead_Violating_Safe_Practices,"51 WHITNEY ST, SAN FRANCISCO, CA, 94131",8,Fairmount,POINT (-122.42764282 37.74082184),Phone,,37.740821838379,-122.427642822266,INGLESIDE
10675780,2019-04-02 09:33:00 UTC,2019-04-04 16:23:04 UTC,2019-04-04 16:23:04 UTC,Closed,Customer may follow up with Muni Customer Service if desired at 415.701.5649 or MuniCustomerService@SFMTA.com,MUNI Work Queue,MUNI Feedback,MUNI - Commendation,401_Employee_Commendation,Intersection of CALIFORNIA ST and 6TH AVE,1,Presidio Terrace,POINT (-122.46456909 37.78499222),Phone,,37.784992218018,-122.464569091797,RICHMOND
10714401,2019-04-10 23:57:00 UTC,2019-04-11 06:00:39 UTC,2019-04-11 06:00:39 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,Intersection of DELANCEY ST and FEDERAL ST,6,South Beach,POINT (-122.39080238 37.78440678),Mobile/Open311,,37.784406782562,-122.390802376181,SOUTHERN
10475627,2019-02-11 13:04:04 UTC,2019-04-05 08:18:51 UTC,2019-04-05 08:18:51 UTC,Closed,case is resolved,DPT SignShop Queue,Sign Repair,Sign - Faded,Stop - Faded; support - OK,"7 GENNESSEE ST, SAN FRANCISCO, CA, 94112",7,Sunnyside,POINT (-122.451278 37.7286255),Web,,37.7286255,-122.451278,INGLESIDE
10580766,2019-03-09 02:03:34 UTC,2019-03-14 12:09:00 UTC,2019-03-14 12:09:00 UTC,Closed,Unable to verify address. Need legal address to file complaint.,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"550 GENE FRIEND WAY, SAN FRANCISCO, CA, 94158",6,Mission Bay,POINT (-122.3903777 37.7691244),Web,,37.7691244,-122.3903777,SOUTHERN
425904,2009-05-06 07:04:21 UTC,2009-06-02 07:10:42 UTC,2009-06-02 07:10:42 UTC,Closed,,DPW Ops Queue,Litter Receptacles,City_Can_Removed,Removal_From_Location,Intersection of COLE ST and FREDERICK ST,5,Cole Valley,POINT (-122.45014954 37.76672745),Web,,37.76672744751,-122.450149536133,PARK
420150,2009-04-27 15:03:21 UTC,2009-05-14 11:35:51 UTC,2009-05-14 11:35:51 UTC,Closed,,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign - Painted_Over,Stop - Painted_Over; support - Other,Intersection of FLOOD AVE and RIDGEWOOD AVE,7,Westwood Park,POINT (-122.45339203 37.72983551),Phone,,37.729835510254,-122.453392028809,INGLESIDE
275623,2008-09-04 07:00:59 UTC,2008-09-04 07:45:23 UTC,2008-09-04 07:45:23 UTC,Closed,Case Resolved SUBMITTED ONLINE MUNI FORM.,311 Service Request Queue,311 External Request,Other,Other -,Intersection of 20TH ST and 3RD ST,10,Dogpatch,POINT (-122.38855743 37.76049042),Phone,,37.76049041748,-122.388557434082,BAYVIEW
335050,2008-12-18 15:18:03 UTC,2009-01-26 09:44:35 UTC,2009-01-26 09:44:35 UTC,Closed,,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign - Faded,Street_Cleaning - Faded; support - OK,"3600 MARKET ST, SAN FRANCISCO, CA, 94131",8,Clarendon Heights,POINT (-122.44133759 37.75590515),Phone,,37.755905151367,-122.441337585449,MISSION
433903,2009-05-18 17:18:41 UTC,2009-05-29 17:17:29 UTC,2009-05-29 17:17:29 UTC,Closed,,DPW BSM Queue,Sidewalk or Curb,Public_Stairway_Defect,Public_Stairway_Defect,Intersection of GREENWICH ST and MONTGOMERY ST,3,Telegraph Hill,POINT (-122.40480042 37.80290222),Phone,,37.80290222168,-122.404800415039,CENTRAL
592507,2010-01-31 16:34:33 UTC,2010-02-01 12:28:12 UTC,2010-02-01 12:28:12 UTC,Closed,,PUC - Water - G,Sewer Issues,Water_Main_Break,NA,"1401 ILLINOIS ST, SAN FRANCISCO, CA, 94107",10,Central Waterfront,POINT (-122.38673401 37.75389862),Phone,,37.753898620605,-122.386734008789,BAYVIEW
492561,2009-08-24 10:11:15 UTC,2009-09-10 11:54:28 UTC,2009-09-10 11:54:28 UTC,Closed,,DPT SignShop Surveyed - Area 1 Queue,Sign Repair,Sign - Not_Visible,Street_Cleaning - Not_Visible; support - OK,"2847 BAKER ST, SAN FRANCISCO, CA, 94123",2,Cow Hollow,POINT (-122.4458847 37.79748154),Phone,,37.797481536865,-122.44588470459,NORTHERN
460377,2009-06-30 22:00:27 UTC,2009-07-29 11:35:39 UTC,2009-07-29 11:35:39 UTC,Closed,Completed,Housing Authority SR Queue,SFHA Requests,Custodian,Custodian - Urgent,"76 NORTHRIDGE RD, SAN FRANCISCO, CA, 94124",10,Hunters Point,POINT (-122.37599945 37.73109818),Phone,,37.731098175049,-122.375999450684,BAYVIEW
541427,2009-11-09 13:47:46 UTC,2012-09-19 15:09:56 UTC,2012-09-19 15:09:56 UTC,Closed,,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign - Loose,Other - Loose; support - Loose,Intersection of BOSWORTH ST and DIAMOND ST,8,Glen Park,POINT (-122.43414307 37.73355103),Phone,,37.733551025391,-122.434143066406,INGLESIDE
677667,2010-06-18 13:11:34 UTC,2010-08-09 12:13:10 UTC,2010-08-09 12:13:10 UTC,Closed,,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign - Incorrect_Signage,Street_Cleaning - Incorrect_Signage; support - OK,"42 WAWONA ST, SAN FRANCISCO, CA, 94127",7,West Portal,POINT (-122.46627808 37.74276733),Phone,,37.742767333984,-122.466278076172,TARAVAL
754124,2010-10-16 22:20:05 UTC,2010-10-17 06:09:37 UTC,2010-10-17 06:09:37 UTC,Closed,,DPW Ops Queue,Graffiti,Graffiti on Fire_call_box,Fire_call_box - Offensive,Intersection of FILBERT ST and LYON ST,2,Cow Hollow,POINT (-122.44701385 37.79657745),Web,,37.796577453613,-122.44701385498,NORTHERN
745320,2010-10-03 14:17:22 UTC,2010-11-23 15:09:38 UTC,2010-11-23 15:09:38 UTC,Closed,,DPW Ops Queue,Graffiti,Graffiti on Private Property,Graffiti on private property - not offensive,"3080 SAN JOSE AVE, SAN FRANCISCO, CA, 94112",11,Outer Mission,POINT (-122.45736694 37.70991516),Web,,37.709915161133,-122.457366943359,TARAVAL
656719,2010-05-15 10:57:42 UTC,2010-05-18 17:03:47 UTC,2010-05-18 17:03:47 UTC,Closed,Completed,Housing Authority SR Queue,SFHA Requests,Steam Fitter,Steam Fitter - Urgent,"187 BLYTHDALE AVE, SAN FRANCISCO, CA, 94134",10,Sunnydale,POINT (-122.41999817 37.71080017),Phone,,37.710800170898,-122.419998168945,INGLESIDE
760328,2010-10-26 19:24:54 UTC,2010-10-31 13:09:33 UTC,2010-10-31 13:09:33 UTC,Closed,,DPW Ops Queue,Litter Receptacles,City_Can_Removed,Removal_From_Location,Intersection of GEARY BLVD and PRESIDIO AVE,2,Anza Vista,POINT (-122.44582367 37.78248978),Web,,37.782489776611,-122.445823669434,RICHMOND
850018,2011-03-26 16:48:10 UTC,2011-03-28 06:06:11 UTC,2011-03-28 06:06:11 UTC,Closed,,DPW Ops Queue,Graffiti,Graffiti on Other,Other - Offensive,Intersection of LAKE MERCED BLVD and LAKE MERCED HILL,7,Lakeshore,POINT (-122.48538208 37.71131897),Web,,37.711318969727,-122.485382080078,TARAVAL
885712,2011-05-20 20:18:23 UTC,2011-08-11 14:33:00 UTC,2011-08-11 14:33:00 UTC,Closed,,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign - Bent,Stop - Bent; support - OK,Intersection of DIAMOND HEIGHTS BLVD and PORTOLA DR,8,Upper Market,POINT (-122.44484711 37.74694443),Phone,,37.74694442749,-122.444847106934,INGLESIDE
914149,2011-07-05 17:18:05 UTC,2011-07-06 16:06:15 UTC,2011-07-06 16:06:15 UTC,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Medical_waste,Medical_waste,Intersection of 2ND ST and TOWNSEND ST,6,South Beach,POINT (-122.39052582 37.78060532),Phone,,37.780605316162,-122.390525817871,SOUTHERN
824638,2011-02-11 20:52:48 UTC,2011-03-29 14:06:03 UTC,2011-03-29 14:06:03 UTC,Closed,,DPW Ops Queue,Illegal Postings,Illegal Posting - Posted_Over_70_Days,Posted_Over_70_Days,Intersection of ARGUELLO BLVD and CALIFORNIA ST,2,Presidio Terrace,POINT (-122.45917511 37.78568268),Web,,37.785682678223,-122.459175109863,RICHMOND
883853,2011-05-18 08:34:34 UTC,2011-05-27 10:30:10 UTC,2011-05-27 10:30:10 UTC,Closed,,DPT SignShop 09 Queue,Sign Repair,Sign Repair - On_Ground,Other - On_Ground; support - On_Ground,Intersection of HIGHLAND AVE and MISSION ST,8,Holly Park,POINT (-122.42404175 37.73740768),Phone,,37.737407684326,-122.424041748047,INGLESIDE
844864,2011-03-18 09:43:46 UTC,2011-03-18 13:00:43 UTC,2011-03-18 13:00:43 UTC,Closed,Please see case # 844902,PUC Streetlights Queue,Streetlights,Streetlight - Light_Glass_Cover_Missing,Light_Glass_Cover_Missing on Concrete Pole,Intersection of CARRIZAL ST and GENEVA AVE,10,Sunnydale,POINT (-122.42092896 37.7085495),Phone,,37.708549499512,-122.420928955078,INGLESIDE
943721,2011-08-18 17:17:45 UTC,2011-08-19 07:06:08 UTC,2011-08-19 07:06:08 UTC,Closed,,DPW Ops Queue,Graffiti,Graffiti on Other,Other - Offensive,"255 TOWNSEND ST, SAN FRANCISCO, CA, 94107",6,Mission Bay,POINT (-122.39359283 37.77812958),Web,,37.778129577637,-122.393592834473,SOUTHERN
1128421,2012-05-21 11:50:27 UTC,2012-06-25 19:54:01 UTC,2012-06-25 19:54:01 UTC,Closed,resolved:,DPW Ops Queue,Illegal Postings,Illegal Posting - Posted_on_Traffic_Light,Posted_on_Traffic_Light,Intersection of PORTOLA DR and SANTA CLARA AVE,7,St. Francis Wood,POINT (-122.46615601 37.73923492),Web,,37.739234924316,-122.466156005859,TARAVAL
1060000,2012-02-07 10:27:52 UTC,2012-02-15 10:25:54 UTC,2012-02-15 10:25:54 UTC,Closed,,311 Service Request Queue - Hold,311 External Request,Sidewalk_or_Curb_Issues,Sidewalk_or_Curb_Issues - MOD,Intersection of CEDRO AVE and MERCEDES WAY,7,Ingleside Terraces,POINT (-122.47032166 37.72715378),Phone,,37.727153778076,-122.470321655273,TARAVAL
1097837,2012-04-03 12:38:30 UTC,2012-05-02 11:25:01 UTC,2012-05-02 11:25:01 UTC,Closed,Sign is located on light pole and visible,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign Repair - Not_Visible,Speed_Limit - Not_Visible; support - OK,"177 CRESCENT AVE, SAN FRANCISCO, CA, 94110",9,Holly Park,POINT (-122.42086792 37.73519135),Phone,,37.735191345215,-122.420867919922,INGLESIDE
1115199,2012-04-30 14:59:00 UTC,2012-04-30 15:47:53 UTC,2012-04-30 15:47:53 UTC,Closed,Complaint  #:201222361s has been filed at  the Department of Building Inspection.  The complaint can be tracked on our website at www.sfdbi.orgs SR# 1115199,DBI Housing Inspection Queue,Residential Building Request,Building - Inadequately_Maintained_Building_Exterior,Inadequately_Maintained_Building_Exterior,"530 COLLEGE AVE, SAN FRANCISCO, CA, 94112",9,St. Mary's Park,POINT (-122.42365265 37.73231888),Phone,,37.732318878174,-122.423652648926,INGLESIDE
1000029,2011-11-08 10:01:09 UTC,2012-01-15 19:52:13 UTC,2012-01-15 19:52:13 UTC,Closed,Complaint # 201280858 has been filed at the Department of Building Inspection.  The complaint can be tracked on our website at www.sfdbi.org.,DBI Housing Inspection Queue,Residential Building Request,Building - Plumbing_Broken_leaking,Plumbing_Broken_leaking,"50 LAGUNA ST, SAN FRANCISCO, CA, 94102",8,Mint Hill,POINT (-122.42512512 37.77161026),Phone,,37.77161026001,-122.42512512207,PARK
1044451,2012-01-15 22:36:45 UTC,2012-01-17 15:03:25 UTC,2012-01-17 15:03:25 UTC,Closed,,DBI Housing Inspection Queue,Residential Building Request,Building - Paint_Lead_Violating_Safe_Practices,Paint_Lead_Violating_Safe_Practices,"400 UNION ST, SAN FRANCISCO, CA, 94133",3,Telegraph Hill,POINT (-122.40620422 37.80098724),Web,,37.800987243652,-122.406204223633,CENTRAL
969975,2011-09-26 10:13:32 UTC,2011-10-03 12:34:32 UTC,2011-10-03 12:34:32 UTC,Closed,transferred to color curb; call 701-4639 for further information pertaining to survey and file.,DPT Color Curb Queue,Color Curb,SSP DPT Color Curb Red,Red - Fee,"700 HURON AVE, SAN FRANCISCO, CA, 94112",11,Outer Mission,POINT (-122.4495697 37.71219254),Web,,37.7121925354,-122.449569702148,INGLESIDE
1105789,2012-04-15 20:09:01 UTC,2012-04-16 07:38:28 UTC,2012-04-16 07:38:28 UTC,Closed,Complaint  #:201216581s has been filed at  the Department of Building Inspection.  The complaint can be tracked on our website at www.sfdbi.orgs SR # 1105789,DBI Housing Inspection Queue,Residential Building Request,Building - Garbage_Receptacles,Garbage_Receptacles,"69 PEARL ST, SAN FRANCISCO, CA, 94103",8,Mint Hill,POINT (-122.42376709 37.77031708),Phone,,37.770317077637,-122.423767089844,SOUTHERN
1081484,2012-03-09 12:30:14 UTC,2012-08-28 11:47:07 UTC,2012-08-28 11:47:07 UTC,Closed,Resolved prior to field verification on 8/27/2012,PUC Streetlights Queue,Streetlights,Streetlight - Light_Glass_Cover_Hanging,Light_Glass_Cover_Hanging on Metal Pole,"70 LANSDALE AVE, SAN FRANCISCO, CA, 94127",7,Sherwood Forest,POINT (-122.46060181 37.73880768),Phone,,37.738807678223,-122.460601806641,INGLESIDE
1111447,2012-04-24 12:04:27 UTC,2012-06-21 09:11:15 UTC,2012-06-21 09:11:15 UTC,Closed,,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign - Bent,No_Parking - Bent; support - Bent,"121 22ND AVE, SAN FRANCISCO, CA, 94121",1,Lake Street,POINT (-122.48203278 37.78547668),Web,,37.78547668457,-122.482032775879,RICHMOND
1059964,2012-02-07 09:59:39 UTC,2012-02-15 10:19:09 UTC,2012-02-15 10:19:09 UTC,Closed,,311 Service Request Queue - Hold,311 External Request,Sidewalk_or_Curb_Issues,Sidewalk_or_Curb_Issues - MOD,Intersection of BORICA ST and URBANO DR,7,Ingleside Terraces,POINT (-122.46768951 37.72350693),Phone,,37.72350692749,-122.46768951416,TARAVAL
1138855,2012-06-04 20:03:13 UTC,2017-11-20 11:30:36 UTC,2017-11-20 11:30:36 UTC,Closed,Work Completed,Housing Authority SR Queue,SFHA Requests,Custodian,Custodian - Emergency,SUNNYDALE,10,Sunnydale,POINT (-122.41856384 37.71160126),Phone,,37.711601257324,-122.418563842773,INGLESIDE
1039725,2012-01-09 13:48:05 UTC,2012-02-01 10:47:16 UTC,2012-02-01 10:47:16 UTC,Closed,This has already been responded to 311 Services Request 102409.Complaint may be tracked on our website at www.sfgov.org or by calling 558-6220.,DBI Housing Inspection Queue,Residential Building Request,Building - Paint_Peeling,Paint_Peeling,"152 VARENNES ST, SAN FRANCISCO, CA, 94133",3,Telegraph Hill,POINT (-122.40685272 37.80138016),Web,,37.801380157471,-122.406852722168,CENTRAL
1068219,2012-02-19 10:09:48 UTC,2013-05-28 17:00:03 UTC,2013-05-28 17:00:03 UTC,Closed,,Housing Authority SR Queue,SFHA Requests,Steam Fitter,Steam Fitter - Emergency,BUILDING 136 - 154 APPLETON,9,Holly Park,POINT (-122.42205811 37.73782349),Phone,,37.737823486328,-122.422058105469,INGLESIDE
1149470,2012-06-19 20:34:55 UTC,2012-06-20 13:09:08 UTC,2012-06-20 13:09:08 UTC,Closed,Complaint #201038960 has been filed at the Department of Building Inspection. The complaint can be tracked on our website at www.sfdbi.orgs 311 SR#1149470,DBI Housing Inspection Queue,Residential Building Request,Building - Paint_Lead_Violating_Safe_Practices,Paint_Lead_Violating_Safe_Practices,"153 CRESCENT AVE, SAN FRANCISCO, CA, 94110",9,Holly Park,POINT (-122.42137909 37.73524857),Web,,37.735248565674,-122.421379089355,INGLESIDE
1581749,2012-10-22 07:40:04 UTC,2012-10-22 13:53:23 UTC,2012-10-22 13:53:23 UTC,Closed,"resolved: Field Work has been completed blocked m/s,flooding whole area.vactor responding.blocked m/s,flooding whole area,or responding vactor responding.",PUC Sewer Ops,Catch Basin Maintenance,Catch_Basin_Other,Catch_Basin_Other,Intersection of INGALLS ST and OAKDALE AVE,10,Hunters Point,POINT (-122.38288879 37.73034286),Phone,,37.73034286499,-122.382888793945,BAYVIEW
1745368,2012-12-01 18:46:41 UTC,2012-12-04 08:17:41 UTC,2012-12-04 08:17:41 UTC,Closed,DUPLICATE TO CCSF 1711407 / REFERRED TO CREW / POSSIBLE RO LOOP OUTAGE,PG and E - Streetlights Queue,Streetlights,Streetlight - Light_Dim,Light_Dim on Metal Pole,"72 SANTA MONICA WAY, SAN FRANCISCO, CA, 94127",7,St. Francis Wood,POINT (-122.46395111 37.73830795),Web,,37.738307952881,-122.46395111084,TARAVAL
1760813,2012-12-05 14:18:04 UTC,2012-12-07 15:19:25 UTC,2012-12-07 15:19:25 UTC,Closed,resolved:,DPW Ops Queue,Illegal Postings,Illegal Posting - Posted_Over_70_Days,Posted_Over_70_Days,Intersection of CLAYTON ST and PARNASSUS AVE,5,Cole Valley,POINT (-122.44763184 37.76514053),Web,,37.765140533447,-122.447631835938,PARK
2560543,2013-07-02 16:07:23 UTC,2013-07-05 07:18:17 UTC,2013-07-05 07:18:17 UTC,Closed,"Complaint No, 201310776 has been filed with the Dept. of Building INspection. To view status, visit our website www.sfdbi.org",DBI Housing Inspection Queue,Residential Building Request,Building - Heat_Lack_of_Heat,Heat_Lack_of_Heat,"5570 MISSION ST, SAN FRANCISCO, CA, 94112",11,Outer Mission,POINT (-122.44580078 37.71189499),Phone,,37.711894989014,-122.44580078125,INGLESIDE
2658637,2013-07-30 15:21:45 UTC,,2013-07-30 15:21:45 UTC,Open,Open,DPW Ops Queue,Illegal Postings,Illegal Posting - Multiple_Postings,Multiple_Postings,Intersection of JACKSON ST and PRESIDIO AVE,2,Presidio Heights,POINT (-122.44750214 37.79082108),Web,,37.790821075439,-122.44750213623,RICHMOND
2560592,2013-07-02 16:17:45 UTC,2013-07-05 07:15:17 UTC,2013-07-05 07:15:17 UTC,Closed,"Complaint No. 201310776 has been filed with the Dept. of Building Inspection. To view status, visit our website www.sfdbi.org",DBI Housing Inspection Queue,Residential Building Request,Building - General_Maintenance_Not_in_List_Above,General_Maintenance_Not_in_List_Above,"5570 MISSION ST, SAN FRANCISCO, CA, 94112",11,Outer Mission,POINT (-122.44580078 37.71189499),Phone,,37.711894989014,-122.44580078125,INGLESIDE
